,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[43502],-0.886074,0.00360055,0.267974,0.267398,-1.36409,-0.858942,-0.496007,5641.97,3182.8,6.74694,1.00141
log_lik[43503],-0.4603,0.00148807,0.103893,0.102457,-0.645257,-0.450945,-0.306079,5067.36,2719.42,6.0598,1.00028
log_lik[43504],-0.535044,0.00245063,0.16862,0.158487,-0.839282,-0.518284,-0.2935,4917.0,2599.56,5.87999,1.00196
log_lik[43505],-0.288981,0.00184453,0.116869,0.105941,-0.504673,-0.268488,-0.136835,5107.36,2279.51,6.10764,1.00156
log_lik[43506],-0.479692,0.000870113,0.0650778,0.0647022,-0.592987,-0.476639,-0.380022,5628.88,2683.83,6.73129,1.00214
log_lik[43507],-0.62328,0.00293805,0.204549,0.198026,-0.995452,-0.600427,-0.330193,5267.92,2396.0,6.29964,0.999989
log_lik[43508],-0.561934,0.00250415,0.180928,0.171658,-0.889419,-0.539205,-0.304509,5808.07,2829.11,6.94557,1.00098
log_lik[43509],-0.631097,0.00234448,0.166745,0.157433,-0.928848,-0.61749,-0.389047,5354.48,2778.26,6.40315,0.999687
log_lik[43510],-0.441384,0.001759,0.134886,0.131944,-0.68725,-0.425012,-0.248075,6189.98,2925.71,7.40228,1.00034
log_lik[43511],-0.433592,0.00205185,0.137621,0.135048,-0.681189,-0.414855,-0.237821,4834.36,2612.75,5.78117,1.00206
log_lik[43512],-0.732082,0.00333642,0.224078,0.221277,-1.13362,-0.709946,-0.403419,4783.43,2828.54,5.72026,1.00244
log_lik[43513],-0.552402,0.00117181,0.0889747,0.0851455,-0.71094,-0.546765,-0.414413,5820.37,2537.01,6.96029,1.0025
log_lik[43514],-0.959982,0.00315728,0.237826,0.230695,-1.38541,-0.943271,-0.599945,5796.93,2490.53,6.93225,1.00336
log_lik[43515],-1.11361,0.000667544,0.0514177,0.0516956,-1.19728,-1.1131,-1.03054,5974.75,2760.4,7.1449,1.00351
log_lik[43516],-0.460505,0.00193975,0.126972,0.124171,-0.691617,-0.446118,-0.280398,4543.31,2648.04,5.43312,1.00155
log_lik[43517],-0.528407,0.00273373,0.18915,0.186114,-0.865078,-0.504234,-0.262094,5423.71,2705.02,6.48593,1.00043
log_lik[43518],-0.539093,0.00258251,0.184581,0.172103,-0.876091,-0.516149,-0.283257,5341.22,2435.99,6.38729,1.00021
log_lik[43519],-0.542837,0.00215662,0.145512,0.143554,-0.798035,-0.529581,-0.331436,4688.44,2743.82,5.60667,1.00115
log_lik[43520],-0.557096,0.0027945,0.187585,0.180315,-0.898878,-0.530865,-0.289236,4863.57,3012.56,5.81609,1.00141
log_lik[43521],-0.632048,0.00298335,0.21917,0.211151,-1.0374,-0.602178,-0.323982,5785.5,2503.96,6.91858,1.00059
log_lik[43522],-0.624004,0.00239125,0.183098,0.179026,-0.956806,-0.604942,-0.35475,6088.83,2074.81,7.28133,1.001
log_lik[43523],-0.62023,0.00296361,0.206357,0.197512,-0.990522,-0.598407,-0.322698,4858.65,2487.01,5.81021,1.00093
log_lik[43524],-0.750401,0.00192421,0.1555,0.156669,-1.02045,-0.740085,-0.518723,6576.54,2925.48,7.86455,1.00234
