,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[42435],-0.208166,0.000787207,0.0528097,0.0513195,-0.300056,-0.204178,-0.128619,4540.26,2700.24,4.06587,1.00517
log_lik[42436],-0.549533,0.00278523,0.18973,0.179384,-0.889973,-0.526343,-0.282891,5132.38,2720.07,4.59612,1.00022
log_lik[42437],-0.106276,0.000234297,0.018284,0.0181151,-0.138597,-0.10554,-0.0779475,6093.22,2952.47,5.45657,1.00242
log_lik[42438],-0.574032,0.00163705,0.115915,0.113399,-0.779317,-0.564976,-0.397706,5462.71,2898.89,4.89194,1.00068
log_lik[42439],-0.106274,0.000233733,0.0182663,0.0180811,-0.138467,-0.105553,-0.0777919,6111.49,2956.0,5.47293,1.00225
log_lik[42440],-0.666062,0.00296597,0.20171,0.196801,-1.02481,-0.64515,-0.374717,5054.67,2416.13,4.52653,1.00162
log_lik[42441],-0.1063,0.000233732,0.0183015,0.0179529,-0.138322,-0.105554,-0.0779936,6142.43,3012.87,5.50064,1.00157
log_lik[42442],-1.45931,0.00238753,0.159431,0.158164,-1.73153,-1.4552,-1.20301,4534.95,2731.4,4.06111,1.00222
log_lik[42443],-0.126783,0.000693588,0.0480752,0.0421658,-0.215635,-0.118906,-0.0644629,5245.14,2943.83,4.6971,1.00212
log_lik[42444],-0.108771,0.00041053,0.02914,0.0275052,-0.161517,-0.105201,-0.0685677,5633.76,2663.18,5.04511,1.00081
log_lik[42445],-0.374803,0.00135062,0.0950566,0.0938197,-0.544571,-0.366317,-0.237115,4980.64,2566.81,4.46024,1.00128
log_lik[42446],-0.68674,0.00098916,0.0707019,0.0705744,-0.808282,-0.683644,-0.57623,5348.78,2473.73,4.78991,1.00083
log_lik[42447],-0.7127,0.00325127,0.214839,0.21288,-1.08268,-0.690161,-0.406033,4502.19,2695.29,4.03178,1.00143
log_lik[42448],-0.673504,0.00304264,0.223995,0.218301,-1.07101,-0.647724,-0.363662,5859.16,2990.48,5.24696,1.00196
log_lik[42449],-0.541507,0.00295845,0.189314,0.180293,-0.886448,-0.517798,-0.275769,4320.73,2892.66,3.86928,0.999742
log_lik[42450],-0.190084,0.000640522,0.0439139,0.042526,-0.267321,-0.186,-0.126446,4836.54,2550.3,4.33119,1.00072
log_lik[42451],-0.331025,0.00224365,0.150824,0.138084,-0.608176,-0.307617,-0.139089,4754.49,2476.86,4.25771,1.0004
log_lik[42452],-0.653483,0.00244383,0.173714,0.17,-0.966529,-0.637182,-0.400247,5384.51,2646.89,4.82191,1.00047
log_lik[42453],-0.300476,0.00171357,0.112342,0.108256,-0.506232,-0.283363,-0.148422,4945.77,2732.98,4.42901,1.00222
log_lik[42454],-0.186648,0.00117616,0.0773798,0.0683961,-0.329217,-0.173661,-0.0860126,5378.38,2682.38,4.81642,1.00069
log_lik[42455],-0.508669,0.00216942,0.147752,0.147636,-0.781895,-0.493307,-0.298687,4887.46,2866.05,4.37679,1.00043
log_lik[42456],-0.499011,0.00271346,0.182766,0.170638,-0.846142,-0.470921,-0.248558,4876.98,2728.46,4.36741,1.00001
log_lik[42457],-0.522272,0.00243962,0.172646,0.167083,-0.835361,-0.499536,-0.276985,5051.9,2615.09,4.52406,1.00258
log_lik[42458],-0.603337,0.00290032,0.205897,0.19079,-0.989011,-0.577713,-0.314775,5200.78,2673.05,4.65738,1.00052
log_lik[42459],-0.107283,0.000357056,0.0243492,0.0241547,-0.150112,-0.104827,-0.0712784,4712.22,2978.46,4.21986,1.00004
log_lik[42460],-1.71055,0.00639426,0.430104,0.431589,-2.46923,-1.68359,-1.05051,4582.08,2640.96,4.10332,1.00118
log_lik[42461],-0.661489,0.00292044,0.211929,0.203326,-1.04193,-0.638263,-0.359347,5358.65,2833.41,4.79875,1.00006
log_lik[42462],-1.06683,0.00451002,0.304659,0.301068,-1.5963,-1.04322,-0.606993,4745.5,2785.35,4.24966,1.00081
log_lik[42463],-1.18291,0.00247796,0.176001,0.179734,-1.48641,-1.17564,-0.905001,5091.98,2880.59,4.55995,1.00485
log_lik[42464],-0.187216,0.000477434,0.0340408,0.03349,-0.247026,-0.184585,-0.136276,5182.43,2582.28,4.64094,0.999987
log_lik[42465],-0.369046,0.00192406,0.137948,0.129233,-0.624635,-0.347925,-0.180863,5257.58,2401.45,4.70824,1.00015
log_lik[42466],-0.0553076,0.000197875,0.0140278,0.0127834,-0.0811283,-0.0536587,-0.0353031,5457.6,2625.05,4.88736,1.00001
log_lik[42467],-0.19479,0.000980357,0.0660717,0.0610214,-0.317449,-0.184622,-0.105314,4731.86,2838.43,4.23745,1.00006
log_lik[42468],-0.0949855,0.000600388,0.0420848,0.0376565,-0.171909,-0.0869562,-0.0434847,5841.75,2412.11,5.23138,1.00013
log_lik[42469],-0.0808581,0.000179977,0.013723,0.0136391,-0.105234,-0.0802064,-0.059499,5758.12,2734.54,5.15648,1.00127
log_lik[42470],-0.326814,0.00141878,0.102039,0.0966793,-0.514322,-0.316087,-0.183982,5253.39,2970.83,4.70449,1.00065
log_lik[42471],-0.0808777,0.000179734,0.0137138,0.0134965,-0.1048,-0.0801889,-0.0595536,5766.23,2814.3,5.16375,1.00126
log_lik[42472],-1.13964,0.00458303,0.312536,0.306279,-1.68031,-1.10665,-0.679642,5169.96,2301.24,4.62978,1.00151
log_lik[42473],-0.436373,0.00205239,0.147696,0.142544,-0.713736,-0.416201,-0.225475,5579.01,2752.39,4.99609,1.00069
log_lik[42474],-0.0865902,0.00057848,0.0386331,0.0327665,-0.158968,-0.0789822,-0.0387129,4922.71,2469.61,4.40836,1.00084
log_lik[42475],-0.177344,0.000935207,0.065954,0.0593024,-0.296775,-0.165944,-0.0914973,5474.16,3163.11,4.90219,1.0023
log_lik[42476],-0.0675486,0.000188732,0.0134641,0.0130385,-0.0911035,-0.0666116,-0.0477117,5092.56,2410.26,4.56046,1.00134
log_lik[42477],-1.08737,0.00412422,0.305806,0.302253,-1.62855,-1.06373,-0.622591,5656.69,3039.11,5.06565,1.00121
log_lik[42478],-0.20035,0.00129673,0.0885746,0.0751904,-0.368128,-0.18438,-0.0897382,5648.95,2488.01,5.05872,0.999512
log_lik[42479],-1.00308,0.0029784,0.224256,0.226418,-1.39428,-0.989654,-0.663564,5894.98,2589.89,5.27904,1.00003
log_lik[42480],-0.388594,0.00168347,0.119052,0.114394,-0.607055,-0.376003,-0.220357,5179.2,3045.86,4.63805,1.00126
log_lik[42481],-0.730204,0.00188636,0.13106,0.133332,-0.953704,-0.72146,-0.526986,4789.42,2879.38,4.289,1.00124
log_lik[42482],-0.15192,0.000877464,0.0565682,0.0498321,-0.256386,-0.141987,-0.0785708,4986.88,2691.7,4.46583,1.00084
log_lik[42483],-0.352972,0.0016529,0.112386,0.109296,-0.561769,-0.339043,-0.196198,4891.52,3090.06,4.38043,1.00197
log_lik[42484],-0.0722771,0.000507803,0.0328375,0.0283785,-0.133688,-0.066288,-0.0308624,4432.71,2871.41,3.96956,1.00141
log_lik[42485],-1.09705,0.00341115,0.238877,0.230436,-1.51823,-1.08274,-0.719573,5024.36,2441.81,4.49939,1.00009
log_lik[42486],-0.0992252,0.000665142,0.042972,0.0385507,-0.181606,-0.0912087,-0.0456302,5212.12,2813.29,4.66753,1.00062
log_lik[42487],-0.274597,0.0016362,0.115194,0.105442,-0.487126,-0.254922,-0.123655,5557.27,3012.08,4.97662,1.00048
log_lik[42488],-0.404909,0.00226595,0.154248,0.138638,-0.688984,-0.381816,-0.19927,5669.56,2693.67,5.07718,1.0023
log_lik[42489],-0.834411,0.00278152,0.185489,0.180672,-1.16516,-0.820491,-0.554995,4647.21,2673.3,4.16165,1.00013
log_lik[42490],-1.82951,0.00201071,0.150997,0.153135,-2.09064,-1.82466,-1.59047,5845.92,2741.83,5.23511,1.00033
log_lik[42491],-0.166177,0.000537041,0.0384335,0.0376584,-0.233069,-0.162658,-0.109957,5286.62,2885.19,4.73424,1.00047
log_lik[42492],-1.95775,0.00267767,0.18698,0.183216,-2.2779,-1.95548,-1.64621,4869.34,2163.89,4.36056,1.00102
log_lik[42493],-0.729199,0.00333694,0.233854,0.228901,-1.15885,-0.704535,-0.386748,5181.26,2730.78,4.63989,0.999843
log_lik[42494],-0.435344,0.00239816,0.16189,0.150545,-0.734783,-0.412017,-0.217739,5025.48,2919.86,4.50039,1.00072
log_lik[42495],-0.17121,0.000683489,0.045377,0.0445915,-0.25359,-0.166884,-0.103096,4549.49,2954.68,4.07413,1.00468
log_lik[42496],-0.739568,0.00336771,0.236285,0.220119,-1.1651,-0.711775,-0.403032,5337.02,2470.57,4.77939,1.00277
log_lik[42497],-0.581737,0.00238413,0.168606,0.168897,-0.884898,-0.566085,-0.335289,5084.74,2742.17,4.55346,1.00002
log_lik[42498],-0.671071,0.00326542,0.231787,0.219142,-1.10851,-0.642058,-0.341858,5205.26,2534.48,4.66139,1.00049
log_lik[42499],-0.669808,0.00287391,0.198738,0.189196,-1.02922,-0.649244,-0.387277,5144.0,2657.47,4.60653,1.00085
log_lik[42500],-0.963937,0.0039267,0.291528,0.285584,-1.47728,-0.935803,-0.535211,5535.22,2298.2,4.95687,1.00079
log_lik[42501],-0.0964354,0.000225713,0.0171901,0.017084,-0.126393,-0.0957669,-0.0701128,5821.22,2817.21,5.21299,1.00104
log_lik[42502],-0.674104,0.00304369,0.197079,0.191656,-1.04249,-0.651716,-0.389529,4507.94,2873.65,4.03693,1.00012
log_lik[42503],-0.187728,0.00100693,0.0723806,0.065905,-0.32448,-0.176035,-0.091493,5184.74,3054.71,4.64301,1.00221
log_lik[42504],-1.01257,0.00258885,0.195579,0.195953,-1.35628,-0.999354,-0.713576,5896.95,2516.54,5.28081,1.0026
log_lik[42505],-0.757588,0.00207315,0.149814,0.146035,-1.01955,-0.748402,-0.528005,5344.9,3018.31,4.78644,1.00036
log_lik[42506],-0.619808,0.00300073,0.206054,0.201885,-0.986945,-0.595712,-0.325949,4803.84,2305.35,4.30191,1.00187
log_lik[42507],-1.11934,0.00365074,0.230017,0.23028,-1.52671,-1.09999,-0.767915,4220.53,2598.26,3.77955,1.00189
log_lik[42508],-0.0585906,0.000247404,0.0164435,0.0154959,-0.0877527,-0.0569602,-0.0346087,4551.18,2724.59,4.07565,1.00363
log_lik[42509],-0.319607,0.000942495,0.0649026,0.0634182,-0.436572,-0.314894,-0.223805,5050.24,2639.7,4.52257,1.0008
log_lik[42510],-0.38174,0.00208281,0.137469,0.127705,-0.635019,-0.360952,-0.19588,5115.83,2578.82,4.5813,1.00193
log_lik[42511],-0.13307,0.00028427,0.0224487,0.0221749,-0.172318,-0.131875,-0.098619,6264.72,2830.47,5.61015,1.00115
