,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[34832],-0.80816,0.00222011,0.156353,0.156412,-1.07724,-0.799609,-0.568326,5254.2,2581.84,6.06864,1.0018
log_lik[34833],-0.632563,0.0029969,0.20903,0.202311,-1.01753,-0.604791,-0.338744,5160.18,3112.81,5.96005,1.00115
log_lik[34834],-0.826764,0.00325967,0.221648,0.215922,-1.23189,-0.805975,-0.495602,4900.63,2714.83,5.66027,1.00166
log_lik[34835],-0.630683,0.00338424,0.224438,0.221528,-1.04333,-0.600936,-0.315021,4549.01,2808.97,5.25414,1.00366
log_lik[34836],-0.677327,0.00191622,0.137859,0.134149,-0.921853,-0.669993,-0.466373,5273.23,2439.98,6.09062,0.999766
log_lik[34837],-0.607584,0.00181169,0.12841,0.127148,-0.835123,-0.596543,-0.413352,5158.57,2691.06,5.95819,1.00174
log_lik[34838],-0.65072,0.00292565,0.221742,0.216447,-1.0538,-0.629533,-0.329869,5624.78,2542.72,6.49666,1.00292
log_lik[34839],-0.683401,0.00329466,0.23569,0.237171,-1.10482,-0.65702,-0.345263,5473.76,3153.18,6.32223,1.00008
log_lik[34840],-0.876666,0.00107356,0.0825999,0.0829625,-1.0168,-0.872157,-0.743052,5873.75,2730.14,6.78422,1.00025
log_lik[34841],-0.551628,0.00243362,0.174914,0.17344,-0.864637,-0.529728,-0.306534,5473.26,2687.92,6.32166,1.0024
log_lik[34842],-0.540399,0.00197177,0.135757,0.138289,-0.776915,-0.531666,-0.340138,4906.46,2518.28,5.667,1.00294
log_lik[34843],-0.754749,0.00333111,0.229525,0.229142,-1.16447,-0.730464,-0.420305,5117.94,2597.62,5.91126,1.00142
log_lik[34844],-0.777931,0.00320078,0.231521,0.222919,-1.19496,-0.752627,-0.443755,5498.21,2937.01,6.35047,1.00102
log_lik[34845],-0.671836,0.00300554,0.214585,0.203803,-1.06193,-0.64869,-0.36674,5946.39,2525.41,6.86813,0.99974
log_lik[34846],-0.779908,0.00184795,0.136209,0.134178,-1.01675,-0.771016,-0.566529,5573.17,2650.19,6.43705,1.00067
log_lik[34847],-0.53291,0.00050417,0.0357413,0.0359939,-0.594633,-0.53231,-0.475863,5098.03,2620.11,5.88827,1.00074
